iter	RMSE
0	438.1942308
1	432.4080489
2	426.4284454
3	420.2654774
4	414.0515276
5	409.2442808
6	403.371731
7	397.8646959
8	392.2419888
9	387.2019582
10	381.985219
11	377.3994777
12	372.5056201
13	368.4425005
14	364.0366203
15	359.7061133
16	355.3448847
17	350.4851173
18	346.6233505
19	342.1344476
20	338.2627624
21	334.3950245
22	330.8080204
23	327.1123701
24	323.7816748
25	320.7153564
26	317.7234558
27	314.640705
28	311.4522701
29	308.7468621
30	306.2868542
31	303.4996994
32	300.7527933
33	298.0782082
34	295.2545007
35	292.4187859
36	289.8894026
37	287.3774425
38	284.694258
39	281.9682739
40	279.9057967
41	277.7238606
42	275.3517281
43	272.9009994
44	270.4893345
45	267.757074
46	265.4375
47	263.5908475
48	261.4435301
49	259.5232697
50	257.7353406
51	256.0595841
52	253.8915852
53	252.2593177
54	250.4770454
55	248.4294096
56	246.9046459
57	245.1386595
58	243.3558557
59	241.9449472
60	240.3861591
61	238.6681953
62	237.0466366
63	235.1273749
64	233.5126847
65	232.0441286
66	230.5890445
67	229.3086992
68	227.7139219
69	226.224608
70	224.7548085
71	223.2303404
72	222.0798359
73	220.7812739
74	219.5111493
75	217.9146962
76	216.6759806
77	215.698837
78	214.6176439
79	213.6841031
80	212.4519329
81	211.426674
82	210.2793104
83	208.8816603
84	207.6439963
85	206.3649985
86	205.4376621
87	204.34199
88	203.2833581
89	202.1924127
90	201.0363288
91	200.2503033
92	199.1347018
93	198.3885741
94	197.3526038
95	196.2149043
96	195.3027186
97	194.1563193
98	193.4048987
99	192.2819211
100	191.3295243
101	190.1957194
102	189.259613
103	188.4241559
104	187.6974801
105	187.147161
106	185.9089892
107	184.9419274
108	183.9176194
109	182.813495
110	181.9558725
111	181.1607636
112	180.1367849
113	179.4743508
114	178.9581035
115	178.1651396
116	177.9656598
117	177.231545
118	176.508857
119	175.5975409
120	174.681713
121	174.1049899
122	173.2056726
123	172.4911272
124	171.9454825
125	171.6911221
126	170.5840325
127	169.9344707
128	169.1551411
129	168.4064253
130	167.7622014
131	166.9649564
132	166.3621628
133	166.0534588
134	165.1471506
135	164.6068823
136	163.7833371
137	163.1139534
138	162.5267953
139	161.9371835
140	161.8148031
141	161.2359996
142	160.7881019
143	160.1419165
144	159.7405382
145	159.3056451
146	158.6654724
147	157.8199783
148	157.0580529
149	156.6282377
150	155.9883761
151	155.1439348
152	154.7348094
153	154.0424084
154	153.5843318
155	153.3026651
156	152.73951
157	152.3273294
158	151.7714052
159	151.6356509
160	151.1195078
161	150.7263842
162	150.1793007
163	149.5926796
164	148.9362021
165	148.4662509
166	148.3103732
167	147.6560422
168	147.4899855
169	146.7799193
170	146.460813
171	146.0713289
172	145.5299759
173	144.8604408
174	144.5576514
175	144.4777936
176	143.9108993
177	143.3332794
178	142.8602995
179	142.4089422
180	141.9934529
181	141.4684576
182	141.0944607
183	140.4581624
184	139.7581755
185	139.392933
186	138.8627234
187	138.2149252
188	137.5773345
189	137.1338847
190	136.9666344
191	136.2975364
192	135.5568882
193	135.0750274
194	134.7045493
195	134.1930112
196	133.777165
197	133.2004038
198	132.9704007
199	132.3820593
200	131.640142
201	131.1065373
202	130.7799528
203	130.6515175
204	130.3386787
205	130.1942701
206	129.7522703
207	129.4821509
208	129.2069254
209	129.0533884
210	128.7143737
211	128.5500857
212	128.2733096
213	127.9559819
214	127.7264048
215	127.5996897
216	127.305758
217	126.564145
218	125.9921861
219	125.6127626
220	125.4263769
221	124.9721719
222	124.8147678
223	124.5249507
224	124.2605128
225	123.9103045
226	123.4621463
227	123.0366486
228	122.7651857
229	122.2286867
230	121.7784552
231	121.4882497
232	121.4018976
233	121.2319567
234	120.9870137
235	120.7367177
236	120.16876
237	119.7434521
238	119.4091298
239	118.9073875
240	118.7610986
241	118.4845033
242	118.3691989
243	117.9228043
244	117.3897701
245	117.1037077
246	116.8314793
247	116.2329253
248	115.9208528
